andar;anunciante;anuncio;area;atualizacao;bairro;banheiro;caracteristica;cep;codigo;condominio;data;descricao;endereco;imagem;imagemlista;y;x;municipio;preco;quarto;siteorigem;suite;telefone;tipologia;titulo;uf;url;urlmapa;vaga
;;COD. 2163;;;Trindade;;;;45893133;;04/05/2019; Excelente terreno Multifamiliar para construir prédio residencial ou Comercial. Viabilidade para 8 pavimentos. Rua plana e excelente localização entre Shopping Iguatemi/Avenida Beira Mar Norte e UFSC. Escritura pública de compra e venda. Exclusividade total de venda! ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/8169f6dc8fab25123e110b6e692d5598.jpg;-27.593.199;-48.519.054;Florianópolis;900000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-trindade-bairros-florianopolis-248m2-venda-RS900000-id-45893133/;https://www.google.com/maps/search/?api=1&query=-27.593199,-48.519054;
;;COD. 509;;;Ingleses do Rio Vermelho;;;;1037921491;;04/05/2019; Terreno plano, pronto pra construir, medindo 450m². O loteamento Jardim Rio Vermelho possui fácil acesso á Rua Candido Pereira dos Anjos e Rod. João Gualberto Soares que liga Ingleses á Lagoa da Conceição. Dispõe de associação de moradores organizada, Estação de Tratamento de Esgoto exclusiva do local, ruas largas e asfaltadas livres de alagamento, 03 praças, acesso á trilha para a Praia do Moçambique, sistema de monitoramento de câmeras infra-vermelho( CFTV 24h) acompanhado por todos moradores via internet, feirinha orgânica nas sextas-feiras, disponibilidade de internet banda larga, ampla área verde ao redor com fauna e flora nativa e ótima iluminação noturna. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/af1d1194f55ceb76632d3105c81cc333.jpg;-27.471.077;-48.408.893;Florianópolis;225000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ingleses-do-rio-vermelho-bairros-florianopolis-450m2-venda-RS225000-id-1037921491/;https://www.google.com/maps/search/?api=1&query=-27.471077,-48.408893;
;;COD. 284;;;Lagoa da Conceição;;;;62199922;;04/05/2019; Amplo terreno no centrinho da Lagoa, com projeto pronto para Condomínio! ;Rua Capitão Vieira;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/d2461283b31fe9f1b78f5e93d3c49ac1.jpg;-27.598.526;-48.472.121;Florianópolis;2600000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-lagoa-da-conceicao-bairros-florianopolis-60925m2-venda-RS2600000-id-62199922/;https://www.google.com/maps/search/?api=1&query=-27.598526,-48.472121;
;;COD. 3617;310;;Estreito;;;;68913272;;04/05/2019; Terreno Estreito a 15 metros da Avenida General Libeatatto Bitencourt, próx. Igreja de Fátima com a área aproximada de 310m², residencial/comercial, com viabilidade.   CORRETA IMÓVEIS LTDA   Jean Packer  Deseja negociar o seu Imóvel? entre em contato  Creci 2568 ;;;;-27.587.868;-48.577.574;Florianópolis;450000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-estreito-bairros-florianopolis-310m2-venda-RS450000-id-68913272/;https://www.google.com/maps/search/?api=1&query=-27.587868,-48.577574;
;;COD. 614;;;São João do Rio Vermelho;;;;84874162;;04/05/2019; CÓDIGO: 614 Terreno localizado na regiao do rio vermelho, plano e ótimo para construir. | estuda proposta. | Não aceita financiamento bancário. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/f0e398d7982d95fa05e22405e9a82a13.jpg;-27.481.826;-48.407.779;Florianópolis;35000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-sao-joao-do-rio-vermelho-bairros-florianopolis-91m2-venda-RS35000-id-84874162/;https://www.google.com/maps/search/?api=1&query=-27.481826,-48.407779;
;;;;;Capoeiras;;;;2429492374;;05/05/2019; Terreno com um Posto de Combustível, com área total de 1614,48, sendo 51m de frente para a rua Ivo Silveira, próximo ao viaduto e Supermercado Angeloni.  A região da Avenida Governador Ivo Silveira onde o posto de gasolina se localiza é um dos principais acessos à Ilha. Vende 10.000 litros dia.  Todos os alvaras em dia. Nunca teve contaminação. O Terreno possui 1.847.00m² todo murado e ocupado 2001 - da para retificar. Trabalhamos com: apartamentos, casas, sobrados, terrenos, sítios, galpões, lojas, salas, residenciais, comercial, condomínio fechado, e muito mais, nos bairros e cidades como:  Florianópolis, São José, Biguaçu, Palhoça, grande Florianópolis,  Kobrasol, Campinas, Itaguaçu, Coqueiros, Santa Catarina. site: www.visaodeimoveis.com.br tel.: whats ;;;;-27.599.686;-48.593.058;Florianópolis;7000000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-capoeiras-bairros-florianopolis-1614m2-venda-RS7000000-id-2429492374/;https://www.google.com/maps/search/?api=1&query=-27.599686,-48.593058;
;;;526;;Trindade;;;;94630277;;05/05/2019;   Açougue, Banca de revistas, Banco, Casa Lotérica, Cursinho, Escola 1º Grau, Escola 2º Grau, Faculdade, Farmácia, Feiras, Hospital, Igreja Católica, Igreja Evangélica, Lanchonete, Locadora, Lojas, Mercado, Panificadora, Praça/Parque, Ponto de circular, Posto de Gasolina, Pré-escola, Pizzaria, Shopping, Sorveteria, .   Terrenos com 526,66 m2 em Condomínio Fechado na Trindade me Florianopolis.  Um condomínio em meio a natureza, silencioso, com direito a ouvir apenas o canto dos pássaros, vista privilegiada para o mar e área de preservação, seguro, um lugar espetacular para relaxar, na região da UFSC, próximo ao TITRI e de todos os serviços necessários para o seu dia a dia.  Dispõe de extensa área verde de uso comum aos moradores do condomínio - 25.010,30 m . Área total 29.350 m .  Condomínio organizado em seis lotes com áreas variáveis possibilitando o melhor aproveitamento da situação existente, da topografia e de acordo com as normas municipais.  Cada lote dispões de completa infra-estrutura sendo disponibilizado na entrada de cada um deles: água, esgoto pluvial e sanitário, rede elétrica trifásica, entrada subterrânea de tubulação para instalações de comunicação e lógica. Todos os lotes com Escritura Pública, liberado para construir até 2 pavimentos.  Consulte-nos sobre a disponibilidade e as informações do imóvel anunciado. Valores sujeitos a alteração.. ;Rua Luiz Pasteur, 630;;;-27.588.127;-48.529.304;Florianópolis;420000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-trindade-bairros-florianopolis-526m2-venda-RS420000-id-94630277/;https://www.google.com/maps/search/?api=1&query=-27.588127,-48.529304;
;;;1542;;Sambaqui;;;;2442562573;;05/05/2019; Excelente terreno com 1.542 m2 , cercado de muito verde e uma linda vista Mar, onde terá o privilegio de observar todos os dias um espetáculo por de sol que somente a natureza poderá lhe proporcionar. Ótimo local pra quem busca morar com sucesso e tranquilidade. À alguns passos da praia, de águas limpas e calmas. Região com fonte de água própria. Agende uma visita e venha conhecer! ;Rodovia Rafael da Rocha Pires;;;-2.748.983;-48.533.769;Florianópolis;2000000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-sambaqui-bairros-florianopolis-1542m2-venda-RS2000000-id-2442562573/;https://www.google.com/maps/search/?api=1&query=-27.48983,-48.533769;
;;;364;;Capoeiras;;;;2437490087;;05/05/2019; O terreno Comercial ,rua DiB Cherem / lote de 364 metros quadrados no bairro Capoeiras. Fica próximo a museus, padarias, estacionamentos, shoppings, hospitais, restaurantes, universidades, transporte coletivo e escolas. ;Rua Prefeito Dib Cherem, 200;;;-27.599.207;-48.598.267;Florianópolis;400000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-capoeiras-bairros-florianopolis-364m2-venda-RS400000-id-2437490087/;https://www.google.com/maps/search/?api=1&query=-27.599207,-48.598267;
;;;360;;Carianos;;;;90593031;;05/05/2019; Loteamento Santos Dumont Terreno com 360 metros quadrados. Multifamiliar e comercial. Ótima localização, bem ao lado do Estádio da Ressacada. Posição solar manhã e tarde. Escritura pública. Viabilidade para 2 pavimentos Próximo ao aeroporto Hercílio luz Estuda-se proposta. Agende uma visita! ;Rua Galvão;;;-27.667.541;-48.530.955;Florianópolis;420000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-carianos-bairros-florianopolis-360m2-venda-RS420000-id-90593031/;https://www.google.com/maps/search/?api=1&query=-27.667541,-48.530955;
;;;;;Cachoeira do Bom Jesus;;;;2443039014;;05/05/2019; Terreno de 55,10m² x 18,54m² , cercado, rua calçada, com água encanada, luz, com uma bela vista. ;;;;-27.429.459;-48.424.771;Florianópolis;604000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-cachoeira-do-bom-jesus-bairros-florianopolis-1008m2-venda-RS604000-id-2443039014/;https://www.google.com/maps/search/?api=1&query=-27.429459,-48.424771;
;;;;;Centro;;;;2443236876;;05/05/2019; Próximo a Rua Esteves Junior, no Centro: São 2 casas juntas localizadas ao lado da praça do Hemosc. Terreno com 537,19m² de área e com viabilidade residencial e comercial para 10 pavimentos. O terreno está situado em rua residencial e comercial, próximo a supermercados, padarias, farmácias, hospital e a 300m da Beira Mar Norte.  ;;;;;;Florianópolis;5000000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-centro-bairros-florianopolis-537m2-venda-RS5000000-id-2443236876/;;
;;;615;;Trindade;;;;95070013;;05/05/2019;   Açougue, Banca de revistas, Banco, Casa Lotérica, Cursinho, Escola 1º Grau, Escola 2º Grau, Faculdade, Farmácia, Feiras, Hospital, Igreja Católica, Igreja Evangélica, Lanchonete, Locadora, Lojas, Mercado, Panificadora, Praça/Parque, Ponto de circular, Posto de Gasolina, Pré-escola, Pizzaria, Shopping, Sorveteria, .   Terrenos com 615,46 m2 em Condomínio Fechado na Trindade me Florianópolis.  Um condomínio em meio a natureza, silencioso, com direito a ouvir apenas o canto dos pássaros, vista privilegiada para o mar e área de preservação, seguro, um lugar espetacular para relaxar, na região da UFSC, próximo ao TITRI e de todos os serviços necessários para o seu dia a dia.  Dispõe de extensa área verde de uso comum aos moradores do condomínio - 25.010,30 m . Área total 29.350 m .  Condomínio organizado em seis lotes com áreas variáveis possibilitando o melhor aproveitamento da situação existente, da topografia e de acordo com as normas municipais.  Cada lote dispões de completa infra-estrutura sendo disponibilizado na entrada de cada um deles: água, esgoto pluvial e sanitário, rede elétrica trifásica, entrada subterrânea de tubulação para instalações de comunicação e lógica. Todos os lotes com Escritura Pública, liberado para construir até 2 pavimentos.  Consulte-nos sobre a disponibilidade e as informações do imóvel anunciado. Valores sujeitos a alteração.. ;Rua Luiz Pasteur, 630;;;-27.588.127;-48.529.304;Florianópolis;470000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-trindade-bairros-florianopolis-615m2-venda-RS470000-id-95070013/;https://www.google.com/maps/search/?api=1&query=-27.588127,-48.529304;
;;;;;Vargem do Bom Jesus;;;;2442457304;;05/05/2019; Excelente oportunidade de investimento. Terreno com 334,67m², com viabilidade para construir prédio com escritura pública. Ótima localização na Vargem do Bom Jesus com rua pavimentada próximo da SC - 403, fácil acesso. Terreno com possibilidade de financiamento. Entre em contato conosco que estamos prontos para lhe atender ;;;;-27.448.065;-48.428.691;Florianópolis;270000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-vargem-do-bom-jesus-bairros-florianopolis-335m2-venda-RS270000-id-2442457304/;https://www.google.com/maps/search/?api=1&query=-27.448065,-48.428691;
;;;;;Vargem Grande;;;;2442470593;;05/05/2019; Lotes residenciais de 450 a 704 m², em área com 22.000 m² de área verde, com projeto paisagístico exuberante, áreas públicas totalmente urbanizadas, com infraestrutura de lazer como: club house, salão de festas, jogos, deck com lounge, playground, ciclovia, horta comunitária, redário entre outras, loteamento com guarita e segurança monitorada, em um região com amplo crescimento, próximo ao Sapiens Park, com fácil acesso as praias. ;Rodovia José Carlos Daux;;;-27.494.454;-48.505.468;Florianópolis;468505;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-vargem-grande-bairros-florianopolis-650m2-venda-RS468505-id-2442470593/;https://www.google.com/maps/search/?api=1&query=-27.494454,-48.505468;
;;;262;;Saco dos Limões;;;;73042817;;05/05/2019; Ótimo terreno no Saco dos Limões, todo murado e pronto para construir. Viabilidade para 2 pavimentos, rua tranquila e familiar. Não perca tempo agende sua visita, venha morar ao lado a UFSC e do Centro de Florianópolis. Lindo terreno 262,50 metros quadrados. ;Servidão Campolino Modesto Gonçalves;;;-27.616.602;-48.526.083;Florianópolis;270000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-saco-dos-limoes-bairros-florianopolis-262m2-venda-RS270000-id-73042817/;https://www.google.com/maps/search/?api=1&query=-27.616602,-48.526083;
;;;531;;Córrego Grande;;;;2433468175;;05/05/2019; Excelente terreno com uma bela vista, rua calçada e sem saída, lugar tranquilo, seguro, arborizado. Ótimo local para quem procura tranquilidade e natureza, porem em lugar urbano, bairro nobre e próximo do centro da cidade. Entre em contato e fale com um de nossos corretores. Nossa equipe estará sempre a seu dispor. ;Servidão da Figueira Velha;;;-27.606.179;-48.497.175;Florianópolis;480000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-corrego-grande-bairros-florianopolis-531m2-venda-RS480000-id-2433468175/;https://www.google.com/maps/search/?api=1&query=-27.606179,-48.497175;
;;;;;Lagoa da Conceição;;;;1042021199;;05/05/2019; Amplo terreno com 1.600m² de área total, localizado em região privilegiada no Canto da Lagoa com linda vista para a Lagoa da Conceição, além do fácil acesso às lindas praias do Sul e Leste da Ilha, Aeroporto e Centro da cidade. Ideal para quem procura viver com privacidade em um bairro rodeado por muita natureza! Agende hoje mesmo sua visita! Contato: /  Vanessa Veras  CRECI - 12775E Outras oportunidades acesse: www.hotimobiliaria.com.br ;Rua Laurindo Januário da Silveira, 2554;;;-27.616.509;-48.484.315;Florianópolis;1300000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-lagoa-da-conceicao-bairros-florianopolis-1400m2-venda-RS1300000-id-1042021199/;https://www.google.com/maps/search/?api=1&query=-27.616509,-48.484315;
;;;;;Vargem Pequena;;;;2438668811;;05/05/2019; Área a venda, com uma belíssima casa com vista panorâmica para o horizonte. Casa com área construída de 360 m², seis dormitórios, sendo 3 suítes , sala de jantar, sala de TV, sala de estar, cozinha, haal, varanda, garagem , lavanderia . ;;;;;;Florianópolis;5500000;;Viva Real;3;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-vargem-pequena-bairros-florianopolis-56000m2-venda-RS5500000-id-2438668811/;;
;;;463;;Campeche;;;;2443221086;;05/05/2019; Excelente terreno com 463m² de área total, Escritura Pública e viabilidade residencial, localizado em Condomínio fechado de alto padrão com vista mar, próximo ao comércio local e com fácil acesso às demais praias do Sul do Ilha, Aeroporto e Centro da cidade. Ideal para quem procura viver com tranquilidade e segurança em região nobre no Campeche, uma das praias mais valorizadas e procuradas da Ilha! Agende hoje mesmo sua visita! Contato: /  Marco Andreolla CRECI - 32687 Outras oportunidades acesse: www.hotimobiliaria.com.br ;Rua da Capela, 505;;;-27.678.922;-48.488.738;Florianópolis;690000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-campeche-bairros-florianopolis-463m2-venda-RS690000-id-2443221086/;https://www.google.com/maps/search/?api=1&query=-27.678922,-48.488738;
;;;437;;Ingleses do Rio Vermelho;;;;1042242230;;05/05/2019; ATENÇÃO CONSTRUTORES!!! Vende-se ótimo terreno!!! Medindo 24 metros de frente x 19 metros de fundo, fazendo um total de 437 M². Localização muito boa, perto de comercio em geral, local muito tranquilo.  Viabilidade para 2 pavimentos! No terreno há uma casa de 3 quartos, 2 banheiros, edicula com churrasqueira, sala, cozinha e mais um apartamento no fundo (alugado). Agende uma visita com um de nossos profissionais pelos fones abaixo: Escritório:  Maximiliano Borgonovo - Creci: 34338 F - Fone:  Cristina de Oliveira - Creci: 31357 F - Fone:   ;Rodovia Armando Calil Bulos;;;-2.743.833;-48.408.435;Florianópolis;339900;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ingleses-do-rio-vermelho-bairros-florianopolis-437m2-venda-RS339900-id-1042242230/;https://www.google.com/maps/search/?api=1&query=-27.43833,-48.408435;
;;;;;Canasvieiras;;;;78861321;;05/05/2019; Ótimo terreno com viabilidade para construção subsolo mais 4 pavimentos, com área total 392m², sendo 14 de frente e fundos e 28 de laterais, bem localizado em Canasvieiras. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/79a45c0784872731e94c686cd3cbc5e5.jpg;;;;;;;;;;;;;;
;;;;;Canasvieiras;;;;2442771881;;05/05/2019; Terreno único em canasvieiras, com viabilidade AMS 4.5, ideal para construção de condomínio, shopping e condominio de terrenos. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/17543e89957b5ae088da4c88d6de7d72.jpg;;;;;;;;;;;;;;
;;;1050;;Saco Grande;;;;1037512304;;05/05/2019; PINHEIRAL VENDE excelente terreno situado a Rodovia Virgilio Varzea, Saco Grande, 1.050,00 m².  R$ 1.100.000,00 - Estuda propostas - REF: 1024 ;Rodovia Virgílio Várzea, 3110;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/794ae5fb825610b668f5b5c51f8a62bf.jpg;-27.537.407;-48.507.931;Florianópolis;1100000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-saco-grande-bairros-florianopolis-1050m2-venda-RS1100000-id-1037512304/;https://www.google.com/maps/search/?api=1&query=-27.537407,-48.507931;
;;;35550;;Centro;;;;83835539;;05/05/2019; Lindo terreno de esquina, com 237m de frente para a BR-116 e 150m de frente para a Estrada Intermunicipal, ponto comercial consolidado, ao lado do comércio Ponto da Fazenda, no bairro Petim, em Guaíba, ponto de ônibus na frente do terreno, esquina com excelente fluxo de veículos em ambas as estradas. Terreno plano, aterrado, formato retangular, área nobre para fins comerciais em importante entroncamento de duas rodovias, terreno com entradas diretas consolidadas, há muitos anos. Tanto pela BR-116 como pela Estrada Intermunicipal. Agende sua visita com Corretor Licenciado!!! Também disponível pelo WhatsApp ao lado! ;Avenida Jornalista Rubens de Arruda Ramos, 310;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/2ba222eddb8bd9c6f7ea81480256a927.jpg;;;;;;;;;;;;;;
;;;;;Cacupé;;;;2442472674;;05/05/2019; Amplo terreno de frente para a Rodovia SC 401, em Florianópolis, com 19.713,00m² de área total. ;Rodovia José Carlos Daux, 5329;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/c82354364a65d30ecd9ab72c062bc735.jpg;-27.536.699;-48.509.452;Florianópolis;40000000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-cacupe-bairros-florianopolis-19713m2-venda-RS40000000-id-2442472674/;https://www.google.com/maps/search/?api=1&query=-27.536699,-48.509452;
;;;36063;;Ingleses do Rio Vermelho;;;;1299875475;;05/05/2019; * * * '''''''''ESTUDAMOS IMÓVEIS COMO PARTE DE PAGAMENTO''''''''''''''''  ''FAÇA A SUA PROPOSTA''  ''TERRENO a 1.200 metros da ''PRAIA DOS INGLESES'' NORTE DA ILHA DE SANTA CATARIANA ''em Florianópolis'' C/ área privativa de 36.000,00 m², toda plana, podendo ser utilizada PARA: - Camping, - Pousadas, - Hotéis, - Parque aquático, - Parque de diversões, - Complexo poli-esportivo,  - Loteamento ''Condomínio Fechado'' - Colégios, - Faculdades, - Condomínio de apartamentos, - Projeto minha casa minha vida. A LOCALIZAÇÃO:  A 1.200 metros do COSTÃO GOLF'', de frente para a Estrada asfaltada  DARIO MANOEL CARDOSO e a 1.200 metros da Praia dos Ingleses, em FLORIANÓPOLIS/SC. CONSIDERAÇÕES: Escritura pública, livre e desembaraçada de quaisquer ônus. 84,50 metros de frente para a rua 426,00 metros de laterais Contatos com o Corretor MARTENDAL  (whatsapp ) creci 2691 ;Estrada Dário Manoel Cardoso, 580;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e02cf4a1fc06514902f64081e69ab748.jpg;;;;;;;;;;;;;;
;;;;;Saco Grande;;;;2439946691;;05/05/2019;" Terreno de 4.921 m² na SC 401, sentido Norte da Ilha - Centro.  Ao lado da Univali e próximo ao Centro Administrativo do Estado de SC. Viabilidade AMC 4.5 Taxa de Ocupação 50 - I.  Aproveitamento: 3 Viabilidade para Clínica Médica, Laboratórios e afins além de Centro de Compras, do tipo ""Strip Center"" -> Agende uma visita ao imóvel com nosos corretores para saber mais detalhes e conferir de pertinho! ";Rodovia José Carlos Daux, 5101;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/ceb6e88c5172113318d2c0ca43f9096b.jpg;;;;;;;;;;;;;;
;;;;;Ingleses do Rio Vermelho;;;;1897375483;;05/05/2019; Terreno a Venda Rio Vermelho  Terreno localizado entre duas avenidas principais do bairro, próximo de ponto de ônibus e comércios em geral, local de grande valorização.  Rua calçada, vizinhança nivelada  Com 330m² (14,75 m frente X 22,40 fundos)  Aceita permuta por imóvel na região de Ingleses.  Este terreno não pode ser adquirido através de financiamento bancário.  ;Rodovia João Gualberto Soares;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/375a643f0a4530971e561a8152ef3da3.jpg;;;;;;;;;;;;;;
;;;;;Armação do Pântano do Sul;;;;1042056987;;05/05/2019; Terreno com 1000 metros quadrados, em meio a natureza, na armação do pântano do sul. Uma ótima opção para quem deseja um amplo espaço, em local tranquilo, com bastante vegetação, e preço bem competitivo. ;Rodovia Rozália Paulina Ferreira;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/7eff8ab157b95cf6eb8d3d4c8223d0e5.jpg;;;;;;;;;;;;;;
;;;;;Vargem Grande;;;;82199054;;05/05/2019; Grande terreno ou sítio de 11 mil m² na vargem grande com água potável excelente espaço! ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/ce9aec4dac4f7a790e59a2e14d018121.jpg;;;;;;;;;;;;;;
;;;;;Sambaqui;;;;93526936;;05/05/2019; Terreno à venda em Sambaqui, Florianópolis SC, com 13.000 m² de área total. Taxa de ocupação 5% - Aprovado para construção de 3 casas. Um terreno sensacional, oportunidade única em sambaqui. Venha visitar e conhecer esse espaço diferenciado que pode ser seu! Nossos corretores estão de plantão 24 horas. Agende sua visita e conheça seu novo imóvel! Temos diversos imóveis para atender a sua expectativa, encontrando a melhor opção para o seu perfil. Visite nosso facebook e fique por dentro de um conteúdo atual sobre imóveis e o mercado imobiliário.. ;Rodovia Rafael da Rocha Pires;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e5b049bb3226afaa813d17a5620ed8b2.jpg;;;;;;;;;;;;;;
;;;;;Vargem Grande;;;;80602826;;05/05/2019; Lotes residenciais de 450 a 704 m², em área com 22.000 m² de área verde, com projeto paisagístico exuberante, áreas públicas totalmente urbanizadas, com infraestrutura de lazer como: club house, salão de festas, jogos, deck com lounge, playground, ciclovia, horta comunitária, redário entre outras, loteamento com guarita e segurança monitorada, em um região com amplo crescimento, próximo ao Sapiens Park, com fácil acesso as praias. ;Rodovia José Carlos Daux;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e9daf369629b141b3112945207873a05.jpg;;;;;;;;;;;;;;
;;;;;Ribeirão da Ilha;;;;2435011418;;05/05/2019; Excelentes lotes no bairro Ribeirão da Ilha de 450 m²-Florianópolis, demarcados em 12 lotes, com escritura de posse em local privilegiado no Ribeirão da Ilha. Distante a 3 km do novo aeroporto de Florianópolis. Com toda infraestrutura e comércio e serviços em franca expansão. Vale conferir. Proximidades à padaria,supermercado,escola, farmácia.  Vale conferir! ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/66b599df99351bd2029f2571d93deb3e.jpg;;;;;;;;;;;;;;
;;;635;;Rio Tavares;;;;1042021426;;05/05/2019; Ótimo terreno com viabilidade comercial e 635m² de área total, localizado em região privilegiada no Rio Tavares com variedade de comércio e grande fluxo diário de pessoas, além do fácil acesso às lindas praias do Sul da Ilha, Aeroporto e Centro da cidade! Agende hoje mesmo sua visita! Contato: /  Outras oportunidades acesse: www.hotimobiliaria.com.br ;SC-405, 1378;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/40fcc87d95eb5a7fab245cd163ac2b57.jpg;;;;;;;;;;;;;;
;;;475;;Ratones;;;;1037879766;;05/05/2019; Agora voce pode ter toda a tranquilidade e os beneficios de uma vida acolhedora no campo sem abrir mao da praticidade e as vantagens da vida na cidade. O Villa Ratones Condominio Residencial e um projeto contemporaneo de alto padrao que oferece toda a serenidade e o sossego que so as areas rurais oferecem, em uma otima localizacao entre as praias mais belas de Florianopolis e os centros comerciais da ilha. Projeto portico de entrada, Salao de festas, Ciclo faixas internas, Ruas com calcamento em paver, Paisagismo com especies nativas, Tubulacao subterranea para telefone, internet e TV a cabo, Estacao de tratamento de esgoto, Automacao do consumo de energia, Rota de frutas, Quadra de tenis, Campo de futebol, Churrasqueiras, Piscina adulto com deck molhado (130 m²) e piscina infantil (36 m²), Sauna umida e sauna seca, Playground, Lago com pista para caminhada. Lotes de 400 a 475 m² de area util disponiveis, com HABITE-SE liberado e possibilidade de construcao imediata. Registro de Incorporacao:  Villa Ratones I 132.062  Villa Ratones II RI 132.063 ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/62b30e3b47a7b9d7e1d4e674824a9dfd.jpg;;;;;;;;;;;;;;
;;;580;;Cachoeira do Bom Jesus;;;;1042021447;;05/05/2019; Ótimo terreno com 601,16m² de área total em ótima localização em meio a área de preservação permanente de Mata Atlântica garantindo um clima agradável, isso tudo na exuberante praia da Cachoeira do Bom Jesus que é a principal porta de entrada dos cruzeiros marítimos da Ilha de Florianópolis além de estar próximo das praias do Norte da Ilha, trilhas ecológicas, Centro, Beira mar, Itacurumbi e Lagoa!  Condomínio fechado oferece: playground, guarita de segurança com câmeras, calçadas e áreas comuns arborizadas, 22 mil metros quadrados de área preservada flora e fauna nativa, estação de tratamento de efluentes sem agressão à natureza e estacionamento para comodidade dos visitantes. Agende hoje mesmo sua visita! Contato: /  Outras oportunidades acesse: www.hotimobiliaria.com.br ;Avenida Luiz Boiteux Piazza, 10;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/bc0fb4e7c72bd1a53cebd4ffbd4aee92.jpg;;;;;;;;;;;;;;
;;;1360;;Trindade;;;;1041127348;;05/05/2019; Terreno em condomínio fechado na Trindade com 1.359,96m² de área privativa. ;Rua Professor Belarmino Corrêa, 366;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/aae0d0bebcddec62df245b0840d78e47.jpg;;;;;;;;;;;;;;
;;;;;Campeche;;;;2435115573;;05/05/2019; Excelente terreno todo murado com 452,25m² de área total, localizado em região privilegiada no Campeche, próximo ao comércio local, das lindas praias do Sul da Ilha, além do fácil acesso ao Aeroporto e Centro da cidade. Ideal para quem procura investir em local com grande valorização, rodeado por natureza e a poucos metros do mar! Agende hoje mesmo sua visita! Contato: /  Leandro Nonohay CRECI - 10082 Outras oportunidades acesse: www.hotimobiliaria.com.br ;Servidão Dona Vitorina Lopes, 852;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/ce19b1967d18f267179e413e0bf53ce6.jpg;;;;;;;;;;;;;;
